% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-1.661560320000e-01, 3.981436e-01, 1.587689e-02
-1.634760960000e-01, 4.079140e-01, 1.343429e-02
-1.607961600000e-01, 3.993649e-01, 2.686859e-02
-1.581162240000e-01, 4.054714e-01, 2.442599e-02
-1.554362880000e-01, 4.005862e-01, 1.954079e-02
-1.527563520000e-01, 3.908158e-01, 2.076209e-02
-1.500764160000e-01, 3.957010e-01, 2.442599e-02
-1.473964800000e-01, 3.969223e-01, 2.442599e-02
-1.447165440000e-01, 4.079140e-01, 2.076209e-02
-1.420366080000e-01, 4.054714e-01, 2.320469e-02
-1.393566720000e-01, 4.030288e-01, 1.954079e-02
-1.366767360000e-01, 4.005862e-01, 2.198339e-02
-1.339968000000e-01, 4.054714e-01, 2.076209e-02
-1.313168640000e-01, 4.054714e-01, 2.076209e-02
-1.286369280000e-01, 4.005862e-01, 2.198339e-02
-1.259569920000e-01, 4.152418e-01, 2.198339e-02
-1.232770560000e-01, 4.079140e-01, 2.320469e-02
-1.205971200000e-01, 4.066927e-01, 2.076209e-02
-1.179171840000e-01, 3.993649e-01, 2.198339e-02
-1.152372480000e-01, 3.981436e-01, 2.442599e-02
-1.125573120000e-01, 4.054714e-01, 2.198339e-02
-1.098773760000e-01, 4.018075e-01, 2.198339e-02
-1.071974400000e-01, 4.005862e-01, 2.076209e-02
-1.045175040000e-01, 3.981436e-01, 2.320469e-02
-1.018375680000e-01, 3.859306e-01, 2.076209e-02
-9.915763200000e-02, 3.895945e-01, 2.198339e-02
-9.647769600000e-02, 3.981436e-01, 2.076209e-02
-9.379776000000e-02, 4.066927e-01, 2.076209e-02
-9.111782400000e-02, 4.030288e-01, 2.076209e-02
