Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-6.539043840000e-01, 9.086468e-01, 3.329262e+00
-6.512244480000e-01, 8.878848e-01, 3.328041e+00
-6.485445120000e-01, 8.671227e-01, 3.336590e+00
-6.458645760000e-01, 9.037616e-01, 3.330484e+00
-6.431846400000e-01, 8.805570e-01, 3.328041e+00
-6.405047040000e-01, 9.123107e-01, 3.329262e+00
-6.378247680000e-01, 9.000977e-01, 3.329262e+00
-6.351448320000e-01, 8.842209e-01, 3.331705e+00
-6.324648960000e-01, 8.854422e-01, 3.328041e+00
-6.297849600000e-01, 8.695653e-01, 3.323156e+00
-6.271050240000e-01, 8.891061e-01, 3.330484e+00
-6.244250880000e-01, 9.025403e-01, 3.329262e+00
-6.217451520000e-01, 8.988764e-01, 3.334148e+00
-6.190652160000e-01, 8.976551e-01, 3.330484e+00
-6.163852800000e-01, 8.634588e-01, 3.328041e+00
-6.137053440000e-01, 8.817783e-01, 3.326820e+00
-6.110254080000e-01, 8.793357e-01, 3.328041e+00
-6.083454720000e-01, 9.159746e-01, 3.330484e+00
-6.056655360000e-01, 8.939912e-01, 3.339033e+00
-6.029856000000e-01, 8.817783e-01, 3.329262e+00
-6.003056640000e-01, 8.988764e-01, 3.330484e+00
-5.976257280000e-01, 8.939912e-01, 3.328041e+00
-5.949457920000e-01, 9.013190e-01, 3.330484e+00
-5.922658560000e-01, 8.866635e-01, 3.328041e+00
-5.895859200000e-01, 8.952125e-01, 3.330484e+00
-5.869059840000e-01, 8.976551e-01, 3.328041e+00
-5.842260480000e-01, 8.707866e-01, 3.326820e+00
-5.815461120000e-01, 9.000977e-01, 3.326820e+00
-5.788661760000e-01, 8.939912e-01, 3.329262e+00
-5.761862400000e-01, 9.037616e-01, 3.329262e+00
-5.735063040000e-01, 8.707866e-01, 3.323156e+00
-5.708263680000e-01, 8.915487e-01, 3.329262e+00
-5.681464320000e-01, 8.842209e-01, 3.329262e+00
-5.654664960000e-01, 8.817783e-01, 1.673180e+00
-5.627865600000e-01, 8.072790e-01, 2.076209e-02
-5.601066240000e-01, 7.828530e-01, 2.076209e-02
-5.574266880000e-01, 7.840743e-01, 2.076209e-02
-5.547467520000e-01, 7.804104e-01, 2.076209e-02
-5.520668160000e-01, 8.011725e-01, 2.198339e-02
-5.493868800000e-01, 7.999512e-01, 2.320469e-02
-5.467069440000e-01, 8.060577e-01, 2.076209e-02
-5.440270080000e-01, 7.999512e-01, 2.076209e-02
-5.413470720000e-01, 7.730826e-01, 2.076209e-02
-5.386671360000e-01, 8.170494e-01, 1.831949e-02
-5.359872000000e-01, 8.036151e-01, 2.076209e-02
-5.333072640000e-01, 7.657548e-01, 2.198339e-02
-5.306273280000e-01, 7.755252e-01, 2.076209e-02
-5.279473920000e-01, 8.060577e-01, 2.076209e-02
-5.252674560000e-01, 7.914021e-01, 2.320469e-02
-5.225875200000e-01, 7.975086e-01, 2.076209e-02
-5.199075840000e-01, 7.938447e-01, 2.076209e-02
-5.172276480000e-01, 8.060577e-01, 2.076209e-02
-5.145477120000e-01, 7.743039e-01, 1.954079e-02
-5.118677760000e-01, 7.816317e-01, 2.442599e-02
-5.091878400000e-01, 7.962873e-01, 2.198339e-02
-5.065079040000e-01, 7.755252e-01, 2.076209e-02
-5.038279680000e-01, 7.987299e-01, 2.320469e-02
-5.011480320000e-01, 7.938447e-01, 2.198339e-02
-4.984680960000e-01, 8.231559e-01, 2.076209e-02
-4.957881600000e-01, 8.133855e-01, 2.076209e-02
-4.931082240000e-01, 8.060577e-01, 2.076209e-02
-4.904282880000e-01, 8.255985e-01, 1.954079e-02
-4.877483520000e-01, 8.146068e-01, 2.198339e-02
-4.850684160000e-01, 7.950660e-01, 2.198339e-02
